"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","HTTP","",""
"pre_128cipher","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tele7.interieur.gouv.fr/143.196.253.66","443","OK","not offered","",""
"SSLv3","tele7.interieur.gouv.fr/143.196.253.66","443","OK","not offered","",""
"TLS1","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","not offered","",""
"TLS1_1","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","not offered","",""
"TLS1_2","tele7.interieur.gouv.fr/143.196.253.66","443","OK","offered","",""
"TLS1_3","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","http/1.1","",""
"cipherlist_NULL","tele7.interieur.gouv.fr/143.196.253.66","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tele7.interieur.gouv.fr/143.196.253.66","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tele7.interieur.gouv.fr/143.196.253.66","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tele7.interieur.gouv.fr/143.196.253.66","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","tele7.interieur.gouv.fr/143.196.253.66","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","not offered","",""
"cipherlist_STRONG","tele7.interieur.gouv.fr/143.196.253.66","443","OK","offered","",""
"cipher_order","tele7.interieur.gouv.fr/143.196.253.66","443","OK","server","",""
"protocol_negotiated","tele7.interieur.gouv.fr/143.196.253.66","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","tele7.interieur.gouv.fr/143.196.253.66","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","tele7.interieur.gouv.fr/143.196.253.66","443","OK","offered","",""
"FS_ciphers","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","tele7.interieur.gouv.fr/143.196.253.66","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","yes","",""
"sessionresumption_ticket","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","supported","",""
"sessionresumption_ID","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","supported","",""
"TLS_timestamp","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","random","",""
"cert_compression","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","N/A","",""
"clientAuth","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","none","",""
"cert_numbers","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","1","",""
"cert_signatureAlgorithm","tele7.interieur.gouv.fr/143.196.253.66","443","OK","SHA256 with RSA","",""
"cert_keySize","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","5A42C6EB8A0640380EFC6EED20102C51","",""
"cert_serialNumberLen","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","16","",""
"cert_fingerprintSHA1","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","D4097687E62FD59C33FB01DBD9C2FEB9F525941E","",""
"cert_fingerprintSHA256","tele7.interieur.gouv.fr/143.196.253.66","443","INFO","1DB39828CABA48F5A3468A1A911AEFF31C76960034327AE5FDAF6554C41BA0EE","",""
