"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cantal.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.cantal.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cantal.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.cantal.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.cantal.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.cantal.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.cantal.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.cantal.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.cantal.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.cantal.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cantal.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cantal.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cantal.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cantal.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.cantal.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.cantal.gouv.fr/77.159.252.140","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.cantal.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.cantal.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.cantal.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cantal.gouv.fr/77.159.252.140","443","INFO","NOT a server cipher order configured","",""
"FS","www.cantal.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.cantal.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.cantal.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.cantal.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.cantal.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.cantal.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.cantal.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.cantal.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.cantal.gouv.fr/77.159.252.140","443","INFO","supported","",""
"TLS_timestamp","www.cantal.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.cantal.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.cantal.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.cantal.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.cantal.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.cantal.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.cantal.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.cantal.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.cantal.gouv.fr/77.159.252.140","443","INFO","C51E9CAA1786854BF75F538016AAB185","",""
"cert_serialNumberLen","www.cantal.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.cantal.gouv.fr/77.159.252.140","443","INFO","F688BC41EDE964FD26BB374441F32F2CBFCED197","",""
"cert_fingerprintSHA256","www.cantal.gouv.fr/77.159.252.140","443","INFO","E23803382E865D4CE90F7A8057BE40AA181958AB039046F37B7D4CED1D93387D","",""
