"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.aude.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.aude.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.aude.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.aude.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.aude.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.aude.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.aude.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.aude.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.aude.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.aude.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.aude.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.aude.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.aude.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.aude.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.aude.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.aude.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.aude.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.aude.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.aude.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.aude.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.aude.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.aude.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.aude.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.aude.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.aude.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.aude.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.aude.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.aude.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.aude.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.aude.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.aude.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.aude.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.aude.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.aude.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.aude.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.aude.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.aude.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.aude.gouv.fr/77.159.252.140","443","INFO","54F77595E045330A87F958879D5E3640","",""
"cert_serialNumberLen","www.aude.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.aude.gouv.fr/77.159.252.140","443","INFO","E5ADB4096B06A47D5F85781F400B88573E1E8E05","",""
"cert_fingerprintSHA256","www.aude.gouv.fr/77.159.252.140","443","INFO","3F7A86C05EF9AC6FDEAB7F7908C4ECE6B868919F9766EA94DA5FEEFC3F6E830C","",""
"cert","www.aude.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIUDCCBjigAwIBAgIQVPd1leBFMwqH+ViHnV42QDANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjUwNzA4MDAwMDAwWhcNMjUxMDA1MjM1OTU5WjBxMQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxITAfBgNVBAoMGE1JTklTVEVSRSBERSBMJ0lOVEVSSUVVUjEZMBcGA1UEAwwQd3d3LmF1ZGUuZ291di5mcjEUMBIGA1UEBRMLUzM1MTMxMDk1MjIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDCv6Ug+TET9TqXjJJR02/JIpCJw6wIA8QUPkbXB3Dq9v+WDwgx7UDWmvOZeEhPrYXhEZJhEloUcn1c9O6ZLOWpoiRmva1e1B4PiPt0W5ri0LKsb5dYs/74rrnXqCQxnTbQE8e/UOAfhfhZusE2BXTfxmOhQ7sXgKAPyroGPFNAKsBVdTZ8Yw0GhHaX9qQtICp46gmrIWU7Hg1YJOa42l7cvzA6FPnEjE3fS3fmFrtuUTk9xiuG8284IJfahjHPCxLu3gleR7ZxdXD58RTqbMZWIA9JdjHFOc0tvRSZtP9efIE0v0vbINHhxPEJJ0Blr5ppyu8I5YOnlOJtxc5MzVH3AgMBAAGjggPWMIID0jCB5AYIKwYBBQUHAQEEgdcwgdQwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAMBgNVHRMBAf8EAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwKQYDVR0RBCIwIIIQd3d3LmF1ZGUuZ291di5mcoIMYXVkZS5nb3V2LmZyMB0GA1UdDgQWBBQXuQ2+NeE/bgmMoaqtmwExppLzvTCCAX8GCisGAQQB1nkCBAIEggFvBIIBawFpAHYAKOKBOP2DIUXpqdaqdTdtg3eohRKzwH9yQUgh3L3pjGYAAAGX6jXQfgAABAMARzBFAiBWQMRF4Q3uiD+n92ixZor/UMdOfLx49aUYlbeHr0tU+wIhAJtaTGLBMMrpjhu901nLKW4CUorO4mFF80E5DL5UpXX1AHYADeHyMCvTDcFAYhIJ6lUu/Ed0fLHX6TDvDkIetH5OqjQAAAGX6jXSpwAABAMARzBFAiEA8+8Z3WNh3TXT8GVuXKonlJmXkIS4kUvgZSDMqskameMCIDgbyYzVal9ijqpD5J4ANAHEbkoGeEzeCvB6IJ8FMX32AHcA3dzKNJXX4RYF55Uy+sef+D0cUN/bADoUEnYKLKy7yCoAAAGX6jXRZAAABAMASDBGAiEAvoKpaIWRaEpa8vkjrTwfDMMMvlcurYlVwbQdj366vPwCIQDKnx4qIy796TiQmfZQjNNAPbEfeEkyxX3Jyx9nAwZ8tjANBgkqhkiG9w0BAQsFAAOCAgEAa6VsaxzrFAUvWAxNbmxyO/q/VjkrqpJ/pfum0ntVQ/70BmK9uK0pNJtWX6R62wGEQ38rxb4OhmD8fJ3bqBvealsJ6sFmcuDmOgbBzbg1Q4o67EZDbIbHI2IpMuUo9HHRm9+EmdjJffGCRBDhKCERIbyYdvC6UpgsZTLVYZpr9p0zcHZv3xoivrhcZBlsmqmY0WFJvr8VXTqf7+HU2Na73k7+pEvYZhxx0OO0IboBpuwDotfzVAOE6WsI6z3xUsLPv15ZymKW6BxwUssgO4Uz7IeomECL/F2/5dTZaE4BieurY4p/5Mct682qqcxFnWF4IyOitvGWyVxhtZRm2C8v7z0VuKBJcL2dJfeASQKWtIaGWuvr2ogElv2nz4tcR1WmEXDmxNH99YicaSMCko8IOcyirKgg9uDobCbDnIrZiy/g9q3Q3AFgWToZ7eoNnhyVetvVFbkIk4AIA0J++Mp8U6+d08kgOZqMX0Pid23FyWASw835zWre9Im3fjasRYsbaCWwJoVdoFbeYYKJqlGIN5dqAIINZzhMKxLyAHw/67vOrdsgbb47Lzyvq+8oqowfkY1rtRFHXMYf+Fe+4iyQlsNCI1NsF8YLi0lmvonyVcxC+CeljbIXJIHrpUzyVGtNOFpeMDExjR4Cvpa2OUcIdPk9kUOD/ciwQWo1UynOpNg=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.aude.gouv.fr/77.159.252.140","443","OK","www.aude.gouv.fr","",""
"cert_commonName_wo_SNI","www.aude.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.aude.gouv.fr/77.159.252.140","443","INFO","www.aude.gouv.fr aude.gouv.fr","",""
"cert_trust","www.aude.gouv.fr/77.159.252.140","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.aude.gouv.fr/77.159.252.140","443","OK","passed.","",""
