"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.bas-rhin.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.bas-rhin.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.bas-rhin.gouv.fr/77.159.252.140","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","85C74AB8B9EEE119DC88BFFAC5B4046F","",""
"cert_serialNumberLen","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","F9767B9DF2CB013B75598CBB65A01D6BB81C660F","",""
"cert_fingerprintSHA256","www.bas-rhin.gouv.fr/77.159.252.140","443","INFO","2291A7752849C218F4FD21F9348EC3EEC90C6FA5BB2664370AF35FC753C2D38F","",""
