"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","066A2CA840262436E875B5BDA1EDD18D3FF5","",""
"cert_serialNumberLen","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","18","",""
"cert_fingerprintSHA1","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","3DAE887CD2615934F763CD747EA710D485DD9118","",""
"cert_fingerprintSHA256","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","22ED041915889F767A82E58B5EFBB0CF359BF67B7D2FD7A5A8917E804C9CAA22","",""
"cert","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGQzCCBSugAwIBAgISBmosqEAmJDbodbW9oe3RjT/1MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwMzI1MTI0ODAxWhcNMjUwNjIzMTI0ODAwWjAsMSowKAYDVQQDEyFkZWZhdWx0LnBoaTY3LnpkLWVzdC5wcmVmLmdvdXYuZnIwggIiMA0GCSqGSIb3DQEBAQUAA4ICDwAwggIKAoICAQDGWXBBj8wNkKOvMybUOdgDWUK7uP4xO3LE96VivFPZTRXIBIzg4aGPQGqYq9sfqZe+FmKeaIxOorNv86On2Wt22ewZX3n3osLYzbzRPo6OoXuVxfKd+n7fR73kgf9Rih15TNmjvUjU7uGUq4JgdChs7CYKBPZLudIsm6OcilKtPZvnjDXKZy9m60wA+3J9j6gW19x8s7m0Prrhop7L6dLgjdxJFT/Kg3glnD5IXGXDST2R52iAO8rTczo1ZB496DX4iUtQhs7jLshV25OV6NxXJekG2WBrm7NZgIkN+lqmiQcgDScT6GCXGtYN3+PS1Wn9bItPv5OY1CKEY+2ije2xSar967HGHdzF07VcNM+wA9m1+jfZe7T/yZauS22nzC2/BzGXMYZ/PfxABbQEuJ4F5Curgp7KA90lgOSYnaW4cMWsYnP6RX6hsCd6dQpL7sRD7eMpeYffILSD2LY1yZ5oKXe2VjtLNjLzKpJVoer1yqjCdVLKZkF75TKIDgG0+jRmKndxGqfFf+EOvdXmsdQVaJxyjL3IIAMzt4BscfXL6hzRoUAiBDVeElcZuviWc5tq2Y2cJzspBD+0mA+YkhkmGyO4j9cj5YG0AeuAN+VkNWdiYVUUJqQLgbStgD9ECaVKtF80uuY7Qar2cCgFmeDELykMvzsdrCz+6sQCTroiwQIDAQABo4ICVjCCAlIwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTDFAJjXRhyxQZmi2EfrIDiT3b4PjAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTAuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMCwGA1UdEQQlMCOCIWRlZmF1bHQucGhpNjcuemQtZXN0LnByZWYuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATAvBgNVHR8EKDAmMCSgIqAghh5odHRwOi8vcjEwLmMubGVuY3Iub3JnLzExOC5jcmwwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdQDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZXNjgaTAAAEAwBGMEQCIAynI6Rij3wa3h/MOlS794PXSdYdpGp+1ysbrmUu5sFHAiA9ATPBrdZsEtDifR7semUZVFUrkDIS+WvbifimYkilfQB3AE51oydcmhDDOFts1N8/Uusd8OCOG41pwLH6ZLFimjnfAAABlc2OBo8AAAQDAEgwRgIhANDo/cOu94e0YpoevqxC+YSb9ZYVHwQa/8xqD7JVg7OXAiEA0LnTAoPiimDxLq0Kub7BTb3K770rBZsD1lOQ9VA2FhMwDQYJKoZIhvcNAQELBQADggEBAFFfzLeHxnoOuO0ZBNSKGniLFbf66wfy+WEXuyCxMeTYfbcO7EK8o0JkmoBHnWOlRIMyHljMOeNAdbHsddsajVvhAPL2vKLJs8MiT4ZIxDEvL/9y3sup5sAa0SCeuc/M9lMpQRB9ek8XB3NxM6Uih3sE0dXV8fjGgFzsVp2noPCv4Q50aUnJlwgwyGZxRua8mnqmGVNMthy+Q9VSbjG80Tlam05Cyv76ntPxd8Ajov2E3nhulNVWkANvyUMKhFkKRdRknk7ZxOl0jQCuhXiNNUOZ/w8atUAawptmWKVS8rwNb0f+ID7DuWdyonmJlkPnn4LDvgECViM3CWlUmI+RrzA=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","default.phi67.zd-est.pref.gouv.fr","",""
"cert_commonName_wo_SNI","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_trust","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.guadeloupe.pref.gouv.fr/77.159.252.140","443","INFO","no","",""
