"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.essonne.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.essonne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.essonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.essonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.essonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.essonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.essonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.essonne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.essonne.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.essonne.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.essonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.essonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.essonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.essonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.essonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.essonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.essonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.essonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.essonne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.essonne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.essonne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.essonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.essonne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.essonne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.essonne.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.essonne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.essonne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.essonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.essonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.essonne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.essonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.essonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.essonne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.essonne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.essonne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.essonne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.essonne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.essonne.gouv.fr/77.159.252.140","443","INFO","EAEACE5D4848B2D1DD435369253D59C1","",""
"cert_serialNumberLen","www.essonne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.essonne.gouv.fr/77.159.252.140","443","INFO","F5B34C940A0B1CA4D6F6D5A3E36B5ADF0C34ED82","",""
"cert_fingerprintSHA256","www.essonne.gouv.fr/77.159.252.140","443","INFO","5AA5BEF130F9D5ED9E9818CF06ECC728BDD665E36A0B29F4A68175026F507213","",""
"cert","www.essonne.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIzzCCBregAwIBAgIRAOrqzl1ISLLR3UNTaSU9WcEwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MTAxNzIyMDAwMFoXDTI1MTAxNzIxNTk1OVowczELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCdJTlRFUklFVVIxHDAaBgNVBAMME3d3dy5lc3Nvbm5lLmdvdXYuZnIxEzARBgNVBAUTClMzMjUwODE1NTcwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDle2K/V+iGwPyoihspISqkdAdPGvunYEe9gRSj/rkM8jltLsyL+/jE9FtsvpSbBe8tdZI7klYGxX/FBgIJdrWM0W8wysmCl4hfLVAEmQKQA7b6eDfaJ2pk9uBTKESttRPkH6P8BjL5vmpbLY8smCkFlL6hMBE3Ks73LWDGIcPfv1OZxYWUuTM8kyQLpsSHb1jXXYDXlTBX8CitCgI2MUE9e2GB2FR08S/+te8HmgXZLlPs2ZsTetpcGDfViDS8ODthvLymodp5KidFFF/7g+rsytvaF+8oiSsmrzF4z+K7Uk/d/6ujH2K3tnGx3O2eHwubvmPvGNHu4BkuKQbvx/kXAgMBAAGjggRSMIIETjCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAMBgNVHRMBAf8EAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwLwYDVR0RBCgwJoITd3d3LmVzc29ubmUuZ291di5mcoIPZXNzb25uZS5nb3V2LmZyMB0GA1UdDgQWBBQzYP6+pvtc99r96ZJRcD8SpmYrUjCCAfUGCisGAQQB1nkCBAIEggHlBIIB4QHfAHUADeHyMCvTDcFAYhIJ6lUu/Ed0fLHX6TDvDkIetH5OqjQAAAGSnmPLtQAABAMARjBEAiAxffkmACTrfA5zZhTBzP0pYpL7RZcxQDehwB/RyUEWPwIgT2qkOowSus6oI2LkD5rU6by/sxk9PhapkxFuz/l73K0AdwDd3Mo0ldfhFgXnlTL6x5/4PRxQ39sAOhQSdgosrLvIKgAAAZKeY8qBAAAEAwBIMEYCIQDH1p1n3ZDp79qb65kjxKJXrIV8pVY/G18U7mugO6zM/QIhAKw3G4zwQf27/XksGwxNVHdiYpu4/1qaOfpqrjUbp98FAHUA5tIxY0B3jMEQQQbXcbnOwdJA9paEhvu6hzId/R43jlAAAAGSnmPNAgAABAMARjBEAiAKX64QLNfBLCYIZoEAHSBzH4JRKoGJSdY4mxvzvAypigIgWqmoJLlhjDF0sWAnmivEFzu3J5l1cAfsZ31VnUrvPrMAdgCvGBoo1oyj4KmKTJxnqwn4u7wiuq68sTijoZ3T+bYDDQAAAZKeY8xdAAAEAwBHMEUCIB20mUmLAnGxOIuxdY6H7C4whm+XWbMSx7ZTjXvd5JPHAiEA24sSnOognWfGM4iL0HwHojgMPQ4lWdlsRp2hFd+0ptkwDQYJKoZIhvcNAQELBQADggIBAJHL0pqc0ZqZ4nk0TCl8SRHdkASrObXluEavUDlQ/WrKukb1SPoxokMzitGPirQRru8oV6DfjzaR3oZV8JvZTFHuDnBB7kzxT9MzR6G0kpck0joA38WtsARdJVFEZbKo3PYOqEh1+X0RK+MqVq16cbO8uYxkOQNiWdSDy1vpbfwvLRZiJeR1QSpEIkWqD/G3dbuKcSBFWVymMyuHrt5JRimpZnK/ottKjIGPDFbSTSAX6kbPQckZZnC1CuoOsZPnz58PKZSwHdtpu/OGbf4ylGBoob5sVMICftjthr8Zeq78Q6l/8A4mg7P+StZIPvZaLvrzSo5HuJfNs/UyqJgfbG/+B29200mA8Y8C08Xf5cK32QoLjxOQaSMHpA7IZPytnFXCdDnsE10AT7IyOSzI+qviJfUUstfDZCYRmPOrYuUuSO0US0MzYU/59N4oKvd3ZS4T+BUXJfheUNVCAq8hYyko2+mLCCwnS0qyn19k90yBc31F04KRUaKgJuBOHeGeu+U//1YY/ey8aZo5tQambEIDlVEKvm6jmp7O8AP2178h0/jsMXjg55JrMx0hdVdKXW3MOz2HVrptHf/7lTVTDm4wC5peZkGsmRJlSNumiRLlGAwSsTVDK4BN5QfpdGLcxfJcxT0JoirNBqtxAPwfq8R0T3XyqJR7YK3JCWS+VukY\n-----END CERTIFICATE-----","",""
"cert_commonName","www.essonne.gouv.fr/77.159.252.140","443","OK","www.essonne.gouv.fr","",""
"cert_commonName_wo_SNI","www.essonne.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.essonne.gouv.fr/77.159.252.140","443","INFO","www.essonne.gouv.fr essonne.gouv.fr","",""
"cert_trust","www.essonne.gouv.fr/77.159.252.140","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.essonne.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.essonne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","www.essonne.gouv.fr/77.159.252.140","443","MEDIUM","expires < 60 days (32)","",""
"cert_notBefore","www.essonne.gouv.fr/77.159.252.140","443","INFO","2024-10-17 22:00","",""
"cert_notAfter","www.essonne.gouv.fr/77.159.252.140","443","MEDIUM","2025-10-17 21:59","",""
"cert_extlifeSpan","www.essonne.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.essonne.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","www.essonne.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","www.essonne.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","www.essonne.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","www.essonne.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","www.essonne.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","www.essonne.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","www.essonne.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","www.essonne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","www.essonne.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
