"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","supported","",""
"TLS_timestamp","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","F379E0F1D81C221CCE64AC8150853CDA","",""
"cert_serialNumberLen","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","9A8B2CFE1059B542CC593C19997DEA234479DFFD","",""
"cert_fingerprintSHA256","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","D96D0B36BD5DE7B051FC6EFF5884C857468222C2013EB821AF5A4B2EA7484FA9","",""
"cert","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIcjCCBlqgAwIBAgIRAPN54PHYHCIczmSsgVCFPNowDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI1MDcwODAwMDAwMFoXDTI1MTAwNTIzNTk1OVowfDELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCdJTlRFUklFVVIxJDAiBgNVBAMMG3d3dy5oYXV0ZXMtcHlyZW5lZXMuZ291di5mcjEUMBIGA1UEBRMLUzM1MTM4MDk1MTMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQClRNR7RoPIJimkiJvv8ynaHyNdJBR2dlY6w76gOWLDbiAONILvtmvuV1m0lwCaiWBFyfwJ76zA/aAaHuGO1k/08iVvSqk6eVn8UyHCE5ENLyo/lCxPs6IlhZdc2X7nx3VRVMrUJdc2KjTwz2F0aSftJUJ2zLOpjrMNAUDG9hXEZa9C1uOZ1tcnAR45fodGNJqVPZPHPtL+1aaIUeht51XNumUpUposeAo0bMa04B9t+A0cxD+Nm3MYdVyH3RdmTBm28FYGYoEIRMO84FkFxPjlBkMPCcUcEX5gt+TaY3vIwGeWr08oN94FIj1GVYqsp8yFnT/f1DM3c435vLcl6IHlAgMBAAGjggPsMIID6DCB5AYIKwYBBQUHAQEEgdcwgdQwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAMBgNVHRMBAf8EAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwPwYDVR0RBDgwNoIXaGF1dGVzLXB5cmVuZWVzLmdvdXYuZnKCG3d3dy5oYXV0ZXMtcHlyZW5lZXMuZ291di5mcjAdBgNVHQ4EFgQUQ5lCMrqs/ujsuhcAClv30IcSQpgwggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB3ACgsi92BD/kJEgrOFtbg7CAb6oKjpK8Z2e/7Weg/3EJoAAABl+of6ncAAAQDAEgwRgIhAJ32NLASwbLOS4pnwDjEHdr9vG1ydAqAwkUNsGWO6HaNAiEAw/bRxPkqD/E8D+sBHvNH//WhvQidLJeMMz2C0rCPG6AAdQAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZfqH+xFAAAEAwBGMEQCIEI3vgiIihjDzHTPwo00uaR336IRCZboo/yi4iEgo1lfAiBxMesfUgHy5mZC/EMlizmkh5sJOs1kI6VvUfGtGaxdbgB3AN3cyjSV1+EWBeeVMvrHn/g9HFDf2wA6FBJ2Ciysu8gqAAABl+of61wAAAQDAEgwRgIhAI4rf5Pyuh7UlyvD7RCVBBFXC8VuN1b6B6Gzo0jZE8TSAiEA3nOkDIwtTj2uBruHYnuq+tlSmDbWP0PlXWK4lR+m660wDQYJKoZIhvcNAQELBQADggIBAB2XBu1gHFq7eQbrdxRgf7SJSjGHNTfNJOInq/QOMxbDNdH566OmPXJFHvuTcFSm4EK9bWy2zi/0djjJKpBahIq1Gq47iTQx4+uR3U+SuH337nKq2K+Dc0Esb6g1OljH6245avQebQCWHSgXYxeFAqQLAvftfnpanz8wRH5vqxJL6pDJK9OS8+s/2uQEZa8bBqVFsJUWyNY4qV5Lr0/J4hea4cUbaglXmB50MGjKfep4Ya5+obk+w/D2OG1Aku5MiE796//eC5Rx1hAYHcxvW2q07OhbRQqZGlMEb4Q++qv/MixN/ZPktgtGdx0lDyNLf6hNqq9jR1rziVuldNPiaBsMLYRS9l4jYaJadKb91IGJvig7yNklPqg4KjUTk6z8tgxZQsavENy8Y+OM5VKZCpaZAqP3Gn2Q6ddF0m32C/VlkJJi8/xOxnD1KFm0d1cpgE4dFEm0CX4qJmFRk6R45a6diOVyjm+gDhVN5h/06lDFrj1g8SGYIBBFcXWDxB7GTZHgvJqNSdcdXOXdyvfyrWl1CqSTNSGQlnfYqH+qn0inCbIPip5+Mi71XZt9Idqt6sUFWV/a6+Q1HTfr71RWIchGe50a0dYD9tM/0pOvR0x4PRo+ypjSD+VPKHhdE7ZZPZe56niNC4um1ZsJYRJ44JqMPwI5gcD7zIQaEEmqGixH\n-----END CERTIFICATE-----","",""
"cert_commonName","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","www.hautes-pyrenees.gouv.fr","",""
"cert_commonName_wo_SNI","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","hautes-pyrenees.gouv.fr www.hautes-pyrenees.gouv.fr","",""
"cert_trust","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","HIGH","expires < 30 days (28)","",""
"cert_notBefore","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","2025-07-08 00:00","",""
"cert_notAfter","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","HIGH","2025-10-05 23:59","",""
"cert_extlifeSpan","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","www.hautes-pyrenees.gouv.fr/77.159.252.140","443","INFO","no","",""
