"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.herault.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.herault.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.herault.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.herault.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.herault.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.herault.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.herault.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.herault.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.herault.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.herault.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.herault.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.herault.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.herault.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.herault.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.herault.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.herault.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.herault.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.herault.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.herault.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.herault.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.herault.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.herault.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.herault.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.herault.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.herault.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.herault.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.herault.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.herault.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.herault.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.herault.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.herault.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.herault.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.herault.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.herault.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.herault.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.herault.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.herault.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.herault.gouv.fr/77.159.252.140","443","INFO","FCC6BB06D3F27EF1A1299F23A9DAA014","",""
"cert_serialNumberLen","www.herault.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.herault.gouv.fr/77.159.252.140","443","INFO","D637EBB9657C49D0CF82FA999C12E0D618E4AA01","",""
"cert_fingerprintSHA256","www.herault.gouv.fr/77.159.252.140","443","INFO","D67B0AA811BB370F8DDE2CD47F6EDADE255FB67BD2867A103BC4A96CD37DD44D","",""
