"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.jura.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.jura.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.jura.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.jura.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.jura.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.jura.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.jura.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.jura.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.jura.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.jura.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.jura.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.jura.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.jura.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.jura.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.jura.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.jura.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.jura.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.jura.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.jura.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.jura.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.jura.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.jura.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.jura.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.jura.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.jura.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.jura.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.jura.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.jura.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.jura.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.jura.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.jura.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.jura.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.jura.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.jura.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.jura.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.jura.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.jura.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.jura.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.jura.gouv.fr/77.159.252.140","443","INFO","94D8C49845F9A4D0C9CA493DA77B5873","",""
"cert_serialNumberLen","www.jura.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.jura.gouv.fr/77.159.252.140","443","INFO","AB7A887E84A25F32DABD4F5FE16EE21C9BA94E7E","",""
"cert_fingerprintSHA256","www.jura.gouv.fr/77.159.252.140","443","INFO","964B69AB69EDF7C9A906525EEF1C24D2C8E8DF6C5E679F09980CD9951794AD08","",""
"cert","www.jura.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIJXDCCB0SgAwIBAgIRAJTYxJhF+aTQycpJPad7WHMwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI2MDUwNDAwMDAwMFoXDTI2MDgwMTIzNTk1OVowcTELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCdJTlRFUklFVVIxGTAXBgNVBAMMEHd3dy5qdXJhLmdvdXYuZnIxFDASBgNVBAUTC1MzODEzMTAwODI5MIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAno9c9wIh5Lj3Ntn3Tl8HC5f3r6oFhNpRqNJSMY6q03tZQHNg5TUg8Knd5Q1hX0PgK2NG8uT+Ukp3g8qOD04VNU19E+bLdtQu22g3BSrUv3JlGCfsgYqj6dHC1+xBvqhYt+ttENK/tNheLGlwrwC4D/Tpoad7fcq/+l6K5ReXxJx3GDsXtYBpkmkPtOZcd96AEf+XtmFI3koewLKTWUk1/lpa6TbsmgXPE/HKO/ZJwkU6eU80fNO1M7PysRM9PChOIeuoFoBlEznQgYCrTnffv96LUMF9SK+VccxWtGHamYYwCRgjOBrt6+NaLyfS3aB5+ErRW+7v0e6m9XiERrCG1jNFf1u8I/Bz8u205NnyqZ7GLwCHDl+OV3jq4wcwbHIr1NOwOQrvGoEgbZ3/E8l0deCuYH9G4O6DGHdDxCVfpWm9688PmDl8h7nprA8vHvrXGEzMfa1TCRx+3aRQXJHVCPLHMvloztb7Wm8WmZ20ksB6Ou8bjfadf6yrgxN50SlQpckP9WK7O45aazJV2CqgvUZHn9H4vXieIB4tNIsPYRk+Ak0ZM57/mMLx0584bLPeEf5DLZQytR/b/eABalOx2PCGl8O3Pm44B1Ahsuc542kgNKtp4JuuMax7Kk9r4p3oFj/CTIP27UVI5+ihbK9wwHgsOTmIF/1fynFIzR0fOGkCAwEAAaOCA+EwggPdMIHyBggrBgEFBQcBAQSB5TCB4jA/BggrBgEFBQcwAoYzaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYV9yb290Y2EuZGVyMD0GCCsGAQUFBzAChjFodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYV9yb290Y2EuZGVyMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwDAYDVR0TAQH/BAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBAjA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMCkGA1UdEQQiMCCCDGp1cmEuZ291di5mcoIQd3d3Lmp1cmEuZ291di5mcjAdBgNVHQ4EFgQURkynvWGTFF2pik+DTDxWlxnE56kwggF8BgorBgEEAdZ5AgQCBIIBbASCAWgBZgB2ANdtfRDRp/V3wsfpX9cAv/mCyTNaZeHQswFzF8DIxWl3AAABnfIaFRAAAAQDAEcwRQIhAPox021sACdswlQESE9evi6fLavc9TgG5mVgeP/xSxHQAiBdNvA6Sj4r7f8F+NJKP7BnOIJqTBKwxEDjve/NTRoARAB1AMs49xWJfIShRF9bwd37yW7ymlnNRwppBYWwyxTDFFjnAAABnfIaFeIAAAQDAEYwRAIgc2tzz1ZBxb2nJxMguXUcsWx2CSHwC93aj30VIpBoIRMCIATMHrxgQ3BnxZOqDPWVLI7RZPzPTMxqPW5aPfkNI2a+AHUAlE5Dh/rswe+B8xkkJqgYZQHH0184AgE/cmd9VTcuGdgAAAGd8hoXEAAABAMARjBEAiADhZBhywjRZKqBIps4xzR7AMWSW6/MYOnbHalvYlFCNQIgNN8agrLrDt9KX0c764mSEPOWX7x+zFU0Dnok7cQJR3QwDQYJKoZIhvcNAQELBQADggIBAI6lcinUTSwIk9Ov86bx2bGTmV8O9roROCaNfPJK0zCbp9jQrAsBosLO54GoIzQEebkYVvkCewibNLTIOD9EGYuTJ3V2TrqC1eq4oNWyowsLWjZHMauk6jTtfWI4CTQGlb0f0MXt6RIhpaFHBoK1CyLbEqEvu6ivck/zu0xVRw1DL1XT0A2+R/9eT3tc0WDXdFSxdgyNd0arZmERh/WLIDQW6505IsLUgQV4TNEBqIRkv5rx8rF11A3FBLP8Prosobwzc8A9JRHfvn9wicroZjJFQjbc7ci2h/q/ebbLN53qn1U+e+XrdnS6ldAgnZbcNW1Kz5JMus+nybMaGQ0QLVMB9Viyxqhr2qhp62Pe5SFS9L6APsYC57jKlXE9DAXjcjB8+kkVHVEnM2tP8+ZgwoVR+6+9EbJbeMD+rs3xRMCuz5LCFQJSXGRGO67MbHw0nAjfX+AWZAaCIaqfcU+7VZHB1aO0FyXUzMJHN0tTQPOa1cMfGDKEmPnwgfJnPyQcflX65j5rL3LGTzO7y3mRMN3IP0i9i/qRthDdUacw3+8QYm0DkN0JJI20pA+h/GLb77VerIOtDkWDo0a9/3BxFwj5IZG4tqU3/RuZtDFGv/QXZISk/C6RHqK54AzCb0D/ck6XWOJwStfQsWaCPwdxlKrE1O51PXBG+C5PgIDJoj88\n-----END CERTIFICATE-----","",""
"cert_commonName","www.jura.gouv.fr/77.159.252.140","443","OK","www.jura.gouv.fr","",""
"cert_commonName_wo_SNI","www.jura.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.jura.gouv.fr/77.159.252.140","443","INFO","jura.gouv.fr www.jura.gouv.fr","",""
"cert_trust","www.jura.gouv.fr/77.159.252.140","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.jura.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.jura.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","www.jura.gouv.fr/77.159.252.140","443","OK","76 >= 60 days","",""
"cert_notBefore","www.jura.gouv.fr/77.159.252.140","443","INFO","2026-05-04 00:00","",""
"cert_notAfter","www.jura.gouv.fr/77.159.252.140","443","OK","2026-08-01 23:59","",""
"cert_extlifeSpan","www.jura.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.jura.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","www.jura.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","www.jura.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","www.jura.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","www.jura.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","www.jura.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","www.jura.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","www.jura.gouv.fr/77.159.252.140","443","INFO","3","",""
"certs_list_ordering_problem","www.jura.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","www.jura.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
