"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","NOT a server cipher order configured","",""
"FS","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.loire-atlantique.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","C5B6FC039B2A0F4DB5A05C01F0A21D59","",""
"cert_serialNumberLen","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","C9119A2703BC1C5F6373678AA0AFE8EBB9A6A6BC","",""
"cert_fingerprintSHA256","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","0ED1F04C147CF1C681BAC16341F3588E9934890310BF8B4EA059B89C16E08201","",""
"cert","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIXjCCBsagAwIBAgIRAMW2/AObKg9NtaBcAfCiHVkwDQYJKoZIhvcNAQELBQAwYDELMAkGA1UEBhMCR0IxGDAWBgNVBAoTD1NlY3RpZ28gTGltaXRlZDE3MDUGA1UEAxMuU2VjdGlnbyBQdWJsaWMgU2VydmVyIEF1dGhlbnRpY2F0aW9uIENBIE9WIFIzNjAeFw0yNjA3MjMwMDAwMDBaFw0yNzAyMDYyMzU5NTlaMHMxCzAJBgNVBAYTAkZSMRYwFAYDVQQIEw1JbGUtZGUtRnJhbmNlMSUwIwYDVQQKDBxNaW5pc3TDqHJlIGRlIGzigJlJbnTDqXJpZXVyMSUwIwYDVQQDExx3d3cubG9pcmUtYXRsYW50aXF1ZS5nb3V2LmZyMIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAm8Bu0UfGByG8zpkcjaRrYSgfFNclPNZTwsZrSyZZjLGu0QRcqd37cgE/WtxjGI2p/9UA4WvkWuu5+qcYDzlxTotsu4gZOS/bUA6MIf7XBnAerIy07dCzZJCxn+BDqiJvE/PBzPnsYDeaefQFCBw0TPhRHSD0yE4y4sM3CpNcMLfbt6nE1RwWPanzuK0+XguwkX9LD22Nt3G+nclSx3CP4xh/HWfOm61lk5sGvUIaIjwE4tFIoQceTBeqEL+6z43oJmwKQD/KPb6oqipcRGVIxIOqiRXaEJDk8EqGQG2y5owKFqHy43+oRdbC87QnbeGnyE+kaSft3I1gWIx5DUI//3tbBovrFBOR21Bnw4aOSF5s08ICtfhk5TR7XkHnUlcLbgwboUNEYY3+CkE0i4xKQyqVNt7BQdqllh8dy9X/bJMUnDrGrcTdjjpGmYHap+hkYxPSecKAtCtqXlx2rawsZroj0JbM1u93jpf5qT4UzeeXndf/k769XhmvVcRswAOpBibBOProLExozmgzjrUpzvoqI45xUrr7XcyOfHGQQttTsPVlaBFNk7NVC6bkgFBLn3sqsjKQK+nTqqK9r7mrG/CMGMfkPbrO+aAQG+V7yOxqm6lPjQvsbenCmTU/D0MZn9CepUOEuGN2fojrLIGdJsoE9mEu1gwMZ7bHw+1+HL0CAwEAAaOCA34wggN6MB8GA1UdIwQYMBaAFONmdLtwaI0sXU4OpkqPmzcinIKSMB0GA1UdDgQWBBTTIIe74dDOxl37Rbb0bhCSSlH7GzAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwSgYDVR0gBEMwQTA1BgwrBgEEAbIxAQIBAwQwJTAjBggrBgEFBQcCARYXaHR0cHM6Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQICMFQGA1UdHwRNMEswSaBHoEWGQ2h0dHA6Ly9jcmwuc2VjdGlnby5jb20vU2VjdGlnb1B1YmxpY1NlcnZlckF1dGhlbnRpY2F0aW9uQ0FPVlIzNi5jcmwwgYQGCCsGAQUFBwEBBHgwdjBPBggrBgEFBQcwAoZDaHR0cDovL2NydC5zZWN0aWdvLmNvbS9TZWN0aWdvUHVibGljU2VydmVyQXV0aGVudGljYXRpb25DQU9WUjM2LmNydDAjBggrBgEFBQcwAYYXaHR0cDovL29jc3Auc2VjdGlnby5jb20wggGNBgorBgEEAdZ5AgQCBIIBfQSCAXkBdwB1AByfaCzp+vBFaVD4G5aKh93bMhDYTObIsuOCUkrEz1mfAAABn44+CIoAAAQDAEYwRAIgJsWUGtQv6/REe77YT1UJEgOxNYJ14G6vPnB3HDX7qmYCIBgG1cSKSSK5fnJgS+2FZCzxbyJTB5E+st/7NkvRLwzaAH4AjspHC6zeavOiBrCkeoS3Rv4fxr+VPiXmm07kAkjzxugAAAGfjj4J0AAIAAAFAAbEwIMEAwBHMEUCIFhz63hxWAc8FZCIl98w6vo04d9VObnZYJSKseV8GD8bAiEA1JgaMAXSacdDmdtltefFrgAmMLktfM9Vaxne1g0F6k4AfgBZbmwzhpSyWXKiVsig6N2QSnboCD3ahzsBCDgoFDzuWQAAAZ+OPgm3AAgAAAUAAFHLYgQDAEcwRQIgLBcue2IJ19WoV3G6wxGk39uhmnREYZxL6ByxeYCRi+kCIQCfWYURo5TrrrGFX/XYrEBGzLt6h13VAGC3/384DAJOLzBBBgNVHREEOjA4ghx3d3cubG9pcmUtYXRsYW50aXF1ZS5nb3V2LmZyghhsb2lyZS1hdGxhbnRpcXVlLmdvdXYuZnIwDQYJKoZIhvcNAQELBQADggGBAFglid8URlhpePSjMIUUvYykpbYsOUv+OzjSkYHATfmmtVwoOZ+C8c6CyRjmC40TT93mtoOzOGL/fpvp6jGETMVrBQJZC5bwI3E/blVA11EfriaUl99Jo6ZmdtihXS7XJAgkt8NzwNJgB3nNNvjbOxdB6ySimtc4lTGtoospwIuw9YMTJKkCqJxWVLHJNSINF8Izc+bv+loX9E4FBu2MKouxIbTeOCJau77AdNFDQSgoHpGwJPrkriPnrSJv9DDMBpsvQpotBZvNkZrpmH9rSJ0CGXsdNkLCzzX6P0FrcLEqQVJ0Z4swyp/l9hxPP5tln3Bn5n023N8K8a2xoP9Imnzv6wGS7Q+8OAMM7Bq+Y35/0fsJ1zmACTVI23WchUDOc3FKSWD8nqST4pGpqj3lesU1xbKqd8Hacat92h6OAew8t/huhi9bcDZTcGl46y2nHS4GGwWchShEaSqnWvZ1TwIYVyQvEQd38mX5KMIcB2EcCWzbq+eRXJFSTo55OaqmdA==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","www.loire-atlantique.gouv.fr","",""
"cert_commonName_wo_SNI","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","www.loire-atlantique.gouv.fr loire-atlantique.gouv.fr","",""
"cert_trust","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","158 >= 60 days","",""
"cert_notBefore","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","2026-07-23 00:00","",""
"cert_notAfter","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","2027-02-06 23:59","",""
"cert_extlifeSpan","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","http://crl.sectigo.com/SectigoPublicServerAuthenticationCAOVR36.crl","",""
"cert_ocspURL","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","www.loire-atlantique.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","www.loire-atlantique.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","www.loire-atlantique.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","3","",""
"certs_list_ordering_problem","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","www.loire-atlantique.gouv.fr/77.159.252.140","443","INFO","Sectigo Public Server Authentication CA OV R36 (Sectigo Limited from GB)","",""
