"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.moselle.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.moselle.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.moselle.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.moselle.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.moselle.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.moselle.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.moselle.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.moselle.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.moselle.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.moselle.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.moselle.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.moselle.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.moselle.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.moselle.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.moselle.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.moselle.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.moselle.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.moselle.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.moselle.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.moselle.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.moselle.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.moselle.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.moselle.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.moselle.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.moselle.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.moselle.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.moselle.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.moselle.gouv.fr/77.159.252.140","443","INFO","15C59C92F68274228C8D7357AAD2BFCB","",""
"cert_serialNumberLen","www.moselle.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.moselle.gouv.fr/77.159.252.140","443","INFO","778BF0BAABECD9EB05FF125C12D905A83B414384","",""
"cert_fingerprintSHA256","www.moselle.gouv.fr/77.159.252.140","443","INFO","B93881A46EAE1BD9A2AA576BE3D640229D457D70D709CCED111B32AB15D74776","",""
