"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.seine-saint-denis.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","4794152081F8AAAA29E780BD937A7543","",""
"cert_serialNumberLen","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","F158AC04A857341475190B4FEE73D521EA3793DD","",""
"cert_fingerprintSHA256","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","670B799686D4DB383D80537769F5E3C76BF8B676912C8FAB91803A799C713A5C","",""
"cert","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHyzCCBbOgAwIBAgIQR5QVIIH4qqop54C9k3p1QzANBgkqhkiG9w0BAQsFADB2MQswCQYDVQQGEwJGUjERMA8GA1UECgwIQ2VydGlnbmExHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MTUwMwYDVQQDDCxDZXJ0aWduYSBTZXJ2ZXIgQXV0aGVudGljYXRpb24gT1ZDUCBFVSBDQSBHMTAeFw0yNTA5MzAwMDAwMDBaFw0yNTEyMjgyMzU5NTlaMH4xCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzEhMB8GA1UECgwYTUlOSVNURVJFIERFIEwnSU5URVJJRVVSMSYwJAYDVQQDDB13d3cuc2VpbmUtc2FpbnQtZGVuaXMuZ291di5mcjEUMBIGA1UEBRMLUzM1OTc4MDQxMTcwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDF2OvTd6t7rNDvgi3aab7N63CG1vh20V9kzW69GI6YSvOX/ovSQwpMjBJ4RI93kt6If2lVgf4nXICA13xRufR5xZ0GGWFuFBdApG1OQm4OM8mmm5Lf0Hr4+EttAAFPCOTNXCK47T6WMjWMmVQfne6hzB1T8KUyYvgWtF+KT/opZsTikXHR1cU52uFaIYH4NSNX7qFWwWla8+8eSIsNKkK3YrSgkJLVzmE9rQqgv5kQRUc3RO/mfXVXKDF0ilQrd9NK8NIBFMrF08g5RwAC4NcOp8zxTzs8KpDG7OtvjMf+TZtO0KW66mAmvknE1yLNjtVBcCU4mnoRfmZbIqxUeeHBAgMBAAGjggNLMIIDRzBfBggrBgEFBQcBAQRTMFEwTwYIKwYBBQUHMAKGQ2h0dHA6Ly9jZXJ0LmNlcnRpZ25hLmNvbS9DZXJ0aWduYVNlcnZlckF1dGhlbnRpY2F0aW9uT1ZDUEVVQ0FHMS5jZXIwHwYDVR0jBBgwFoAUoHLmRsQwXOStwhzC1WI4mIFaVKYwDAYDVR0TAQH/BAIwADBTBgNVHSAETDBKMAgGBgQAj3oBBzA0BgsqgXoBgTEBFwEBATAlMCMGCCsGAQUFBwIBFhdodHRwOi8vY3BzLmNlcnRpZ25hLmNvbTAIBgZngQwBAgIwUwYDVR0fBEwwSjBIoEagRIZCaHR0cDovL2NybC5jZXJ0aWduYS5jb20vQ2VydGlnbmFTZXJ2ZXJBdXRoZW50aWNhdGlvbk9WQ1BFVUNBRzEuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDBDBgNVHREEPDA6ghlzZWluZS1zYWludC1kZW5pcy5nb3V2LmZygh13d3cuc2VpbmUtc2FpbnQtZGVuaXMuZ291di5mcjAdBgNVHQ4EFgQU2a13WOW1XfwtZnZoPfY8DORqKNQwggGABgorBgEEAdZ5AgQCBIIBcASCAWwBagB2ACjigTj9gyFF6anWqnU3bYN3qIUSs8B/ckFIIdy96YxmAAABmZnVywgAAAQDAEcwRQIgJQijeiQaDkCojx3AAxiHyIDPTdOpbTSGNhOwoCAMQ08CIQDjhJrmBKHb0mPCs9X169an34ApRrISRbPu9aiWNXT3LAB3AN3cyjSV1+EWBeeVMvrHn/g9HFDf2wA6FBJ2Ciysu8gqAAABmZnVyckAAAQDAEgwRgIhAJs7M+C1Y0xkPm5se9FMpA26QnpS8SWHhzODgjL4cq+JAiEA417a7t45sWNm8VeyxZXpoaE6qxWpYOh1T3OBezWp1kwAdwAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZmZ1cyWAAAEAwBIMEYCIQD2FD+EKIRvnhxxONvReCttk0yIcHyGYmJ5W4NDorPVpgIhAPbLNhSzALXE3vHHPoR7IPHxqt1nhHQjgBilk6x2Kls0MA0GCSqGSIb3DQEBCwUAA4ICAQA9grxBBjVXaw7HCnBI8451328JFMaxypg3UkI9xKtFES2Ilx93V4Yt7BmIDNp9V51uVQA92U14irFfOcR7LLwBHOV3TtsHEa94vCo2v5KFP7hGvy98A7EjqqVnnbdm9QGB/6gk5LdDI+77GWaAXWqn0SONszGl69PYya8r4Xxs5qjk3tvfYWg67c6rm94EBIAmStWEHV/pw22XRCvTuGqxFDk+gy358CQrIT81GhrDWw6cDNN3/Lk/WZOMJL/rROwEKPCU2wHB/z81hFRHDSItVhaT2ijSMWdt2Cvheo+3pVPKDIGMgz/n0lQVcfyllvja0PrVaEiSPATtNafSKW0pW5A54BsD7OEqZ1JbOX0FFeC8qFeoGA8M5+0aUpuoixoRUGPQqQA8+Z7KNVcjYlUHoQeW5CnBxIx/VCa0x3f8fOmdd0htmR4DhhnYIp0oVNX/GiG8Ls7t0NuD9doWzSxPhfX+BrASaaGa2XKfK1budfTrGJYeP4VTTl89Wa61DvuWERFHGqLei8wnT7+92NHJIh0cRQIIz0BNtQRFCKB4BXmWDI39rtIVDdrEMgPdxGBs0uCpuOlyI8o4a2+6BTGMlJFxirFzy4XRLzpYZn77VPwz7RCrZydifgf/djckxENv13mgswCioJYKr9ZNgmub3hhfdAlc0mnVGp1GmRw9jg==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","www.seine-saint-denis.gouv.fr","",""
"cert_commonName_wo_SNI","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","seine-saint-denis.gouv.fr www.seine-saint-denis.gouv.fr","",""
"cert_trust","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","www.seine-saint-denis.gouv.fr/77.159.252.140","443","MEDIUM","expires < 60 days (55)","",""
"cert_notBefore","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","2025-09-30 00:00","",""
"cert_notAfter","www.seine-saint-denis.gouv.fr/77.159.252.140","443","MEDIUM","2025-12-28 23:59","",""
"cert_extlifeSpan","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.com/CertignaServerAuthenticationOVCPEUCAG1.crl","",""
"cert_ocspURL","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","--","",""
"OCSP_stapling","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cert_mustStapleExtension","www.seine-saint-denis.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","www.seine-saint-denis.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","www.seine-saint-denis.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
