"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.service-public.fr/160.92.168.33","443","INFO","HTTP","",""
"pre_128cipher","www.service-public.fr/160.92.168.33","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.service-public.fr/160.92.168.33","443","OK","not offered","",""
"SSLv3","www.service-public.fr/160.92.168.33","443","OK","not offered","",""
"TLS1","www.service-public.fr/160.92.168.33","443","INFO","not offered","",""
"TLS1_1","www.service-public.fr/160.92.168.33","443","INFO","not offered","",""
"TLS1_2","www.service-public.fr/160.92.168.33","443","OK","offered","",""
"TLS1_3","www.service-public.fr/160.92.168.33","443","OK","offered with final","",""
"ALPN","www.service-public.fr/160.92.168.33","443","INFO","not offered","",""
"cipherlist_NULL","www.service-public.fr/160.92.168.33","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.service-public.fr/160.92.168.33","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.service-public.fr/160.92.168.33","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.service-public.fr/160.92.168.33","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.service-public.fr/160.92.168.33","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.service-public.fr/160.92.168.33","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.service-public.fr/160.92.168.33","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.service-public.fr/160.92.168.33","443","OK","offered","",""
"cipher_order-tls1_2","www.service-public.fr/160.92.168.33","443","OK","server","",""
"cipherorder_TLSv1_2","www.service-public.fr/160.92.168.33","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.service-public.fr/160.92.168.33","443","OK","server","",""
"FS","www.service-public.fr/160.92.168.33","443","OK","offered","",""
"FS_ciphers","www.service-public.fr/160.92.168.33","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.service-public.fr/160.92.168.33","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.service-public.fr/160.92.168.33","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.service-public.fr/160.92.168.33","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.service-public.fr/160.92.168.33","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.service-public.fr/160.92.168.33","443","INFO","yes","",""
"sessionresumption_ticket","www.service-public.fr/160.92.168.33","443","INFO","not supported","",""
"sessionresumption_ID","www.service-public.fr/160.92.168.33","443","INFO","supported","",""
"TLS_timestamp","www.service-public.fr/160.92.168.33","443","INFO","random","",""
"certificate_compression","www.service-public.fr/160.92.168.33","443","INFO","none","",""
"clientAuth","www.service-public.fr/160.92.168.33","443","INFO","none","",""
"cert_numbers","www.service-public.fr/160.92.168.33","443","INFO","1","",""
"cert_signatureAlgorithm","www.service-public.fr/160.92.168.33","443","OK","SHA256 with RSA","",""
"cert_keySize","www.service-public.fr/160.92.168.33","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.service-public.fr/160.92.168.33","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.service-public.fr/160.92.168.33","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.service-public.fr/160.92.168.33","443","INFO","8721040FAB804FEC2A1E416BAAE7A2B7","",""
"cert_serialNumberLen","www.service-public.fr/160.92.168.33","443","INFO","16","",""
"cert_fingerprintSHA1","www.service-public.fr/160.92.168.33","443","INFO","D8E22EF2546FD4C64EEF2FE9964B0C34E1D775AD","",""
"cert_fingerprintSHA256","www.service-public.fr/160.92.168.33","443","INFO","D8F39E0DBA2C346758ADB0450465614E3D91674288EF727BF310A8EBC939DF81","",""
