"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","HTTP","",""
"pre_128cipher","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","not offered","",""
"SSLv3","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","not offered","",""
"TLS1","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","not offered","",""
"TLS1_1","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","not offered","",""
"TLS1_2","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","offered","",""
"TLS1_3","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","offered with final","",""
"ALPN","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","http/1.1","",""
"cipherlist_NULL","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.prefectures-regions.gouv.fr/141.101.90.104","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","offered","",""
"cipherlist_STRONG_FS","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","offered","",""
"cipher_order-tls1_2","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","server","",""
"cipherorder_TLSv1_2","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","offered","",""
"FS_ciphers","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","yes","",""
"sessionresumption_ticket","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","not supported","",""
"sessionresumption_ID","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","not supported","",""
"TLS_timestamp","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","random","",""
"certificate_compression","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","0002/Brotli","",""
"clientAuth","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","none","",""
"cert_numbers","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","1","",""
"cert_signatureAlgorithm","www.prefectures-regions.gouv.fr/141.101.90.104","443","OK","SHA256 with RSA","",""
"cert_keySize","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","BF0FEBC6282E2B0CA24FD0D1F7E5166B","",""
"cert_serialNumberLen","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","16","",""
"cert_fingerprintSHA1","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","393B4E4365F2034DCA856F4C9430BD6A6F68C0E0","",""
"cert_fingerprintSHA256","www.prefectures-regions.gouv.fr/141.101.90.104","443","INFO","14A1E42EEA00E307D6B12D8E3F24F29C4D4031D187052D22255B7B3856C63C99","",""
