"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","HTTP","",""
"pre_128cipher","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","not offered","",""
"SSLv3","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","not offered","",""
"TLS1","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","not offered","",""
"TLS1_1","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","not offered","",""
"TLS1_2","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","offered","",""
"TLS1_3","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","offered with final","",""
"ALPN","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","http/1.1","",""
"cipherlist_NULL","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.prefectures-regions.gouv.fr/141.101.90.105","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","offered","",""
"cipherlist_STRONG_FS","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","offered","",""
"cipher_order-tls1_2","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","server","",""
"cipherorder_TLSv1_2","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","offered","",""
"FS_ciphers","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.prefectures-regions.gouv.fr/141.101.90.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","prime256v1","",""
"TLS_extensions","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'signed certificate timestamps/#18' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","yes","",""
"sessionresumption_ticket","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","supported","",""
"sessionresumption_ID","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","not supported","",""
"TLS_timestamp","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","random","",""
"certificate_compression","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","0002/Brotli","",""
"clientAuth","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","none","",""
"cert_numbers","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","HIGH","Certificate incorrectly used for key encipherment: 'Digital Signature'","",""
"cert_extKeyUsage <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","28EEB2BDA07D4108CDCF1E50D232D8D4","",""
"cert_serialNumberLen <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","D08F3FAB3EBCB450CC828A4DF2D42D9484E73720","",""
"cert_fingerprintSHA256 <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","D164D83328CF95B67038BF6BBBF3EA352644DF4F98231E88F58349A0D3F40624","",""
"cert <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFjDCCBHSgAwIBAgIQKO6yvaB9QQjNzx5Q0jLY1DANBgkqhkiG9w0BAQsFADBRMQswCQYDVQQGEwJVUzEYMBYGA1UECgwPU1NMIENvcnBvcmF0aW9uMSgwJgYDVQQDDB9DbG91ZGZsYXJlIFRMUyBJc3N1aW5nIFJTQSBDQSAzMB4XDTI1MTIyOTEyMTYyN1oXDTI2MDMyOTEyMjUwOFowKjEoMCYGA1UEAwwfd3d3LnByZWZlY3R1cmVzLXJlZ2lvbnMuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALk4AY58i6D7k/PkkAvu2+JpkyPKwKoaXR0u2UF423RC0Ot6WTWvfivakdadw3nMI1P8G84WsMADs8h4gsKjU/FT4RNXgVNUpJ2/Q/XSBIpVZMXLc2cNBIraZTBdwGLjxX3Vtv57r7VTqhK18ekAimg6ZKQ/4iTxGLQV6OB//RCcLxjS1a0CmYvdB8W75OO2UEYJHk0C1m/+G0QPTitSEDPYhy3uzY8eEg0Z2R4vsU3L63iRGu3waJHx2DjyGWSFWcQKBEkkOI4eDY3Qzl7EZRYTFgwxPQ+Z7mNR87ppeyi4oCDSazOohiLtRYqyzLlL/aOxASkGmUhrHoB/2JU6gsUCAwEAAaOCAoUwggKBMAwGA1UdEwEB/wQCMAAwHwYDVR0jBBgwFoAUlXUdFvPoQ3wkVcnE4OFWjhij7O8wbAYIKwYBBQUHAQEEYDBeMDkGCCsGAQUFBzAChi1odHRwOi8vaS5jZi1pLnNzbC5jb20vQ2xvdWRmbGFyZS1UTFMtSS1SMy5jZXIwIQYIKwYBBQUHMAGGFWh0dHA6Ly9vLmNmLWkuc3NsLmNvbTAqBgNVHREEIzAhgh93d3cucHJlZmVjdHVyZXMtcmVnaW9ucy5nb3V2LmZyMCMGA1UdIAQcMBowCAYGZ4EMAQIBMA4GDCsGAQQBgqkwAQMBATATBgNVHSUEDDAKBggrBgEFBQcDATBTBgNVHR8ETDBKMEigRqBEhkJodHRwOi8vYy5jZi1pLnNzbC5jb20vZGNjZDA2YzkzOWZlMDdlZWE1NjdkNjk1OGJhMDkwN2Y1YTgwZjc4OC5jcmwwDgYDVR0PAQH/BAQDAgeAMA8GCSsGAQQBgtpLLAQCBQAwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdQAWgy2r8KklDw/wOqVF/8i/yCPQh0v2BCkn+OcfMxP1+gAAAZtqEv+aAAAEAwBGMEQCIH2dyqCvU0YmRAE5ZzamhJNYgzU+VGbdx/z6VLVGIS/lAiB8K56IrK01mTyOljDfHy1ZNHNfhBVQKzCiT9m7NqbrBAB3AGQRxGykEuyniRyiAi4AvKtPKAfUHjUnq+r+1QPJfc3wAAABm2oS/4sAAAQDAEgwRgIhAKeuuo3HEojSUES+x/ZUfynlpexUQQ50DLJ4ZyMyVr+LAiEAySinhRvsF8GfdNyU2WRqcN71csWmXwOKtTIajYAVKzEwDQYJKoZIhvcNAQELBQADggEBAFJfLTCZCsy5zuzd21CVigxtTtvojN/8r4rwHRe6gEfXHhau8jd2K9eaWBLEhGbTREZSwLKhh9A4EbONIsTeOz2Gw0TyRHDzalSNrwb3SXGpJHTUfeqPAqlvG4MCKwFSQMxINxsgnAmR9clMxdWq1bpaFb0xE2gpMY/AGTdMPLl9ktkInAKKNksqcFGUEqPdLi6savdMwfedRWic3pcID9ulWpASOpmuLZqlCK0Sp4P/0BetTiXMh8GHVgEflJbYl8vJ8J/4bGDsSQeEmAOK7KCle0rrVY8rbUhHbhiYtY9BJFUHtZdkzY+AZGcg8s4yMTPKE5jT/xNi9UC0PCp0sN8=\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","OK","www.prefectures-regions.gouv.fr","",""
"cert_commonName_wo_SNI <hostCert#1>","www.prefectures-regions.gouv.fr/141.101.90.105","443","INFO","request w/o SNI didn't succeed","",""
