"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","6F8B6DBA88CDB70C2EAA585717AB0089","",""
"cert_serialNumberLen","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","DF8AABB5B20DA45E1CC56081E03A3486D12D09D5","",""
"cert_fingerprintSHA256","www.pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","67B8A2057DB84635C91FC8DC034352F75ECEAC733F46288FA319EC754C93B69F","",""
