"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","05A90DAB451D82DB1C289756B8D62D9C3DF2","",""
"cert_serialNumberLen","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","18","",""
"cert_fingerprintSHA1","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","A37B890E20D4A6988E0F81B47C1D4A4EDF8A2058","",""
"cert_fingerprintSHA256","www.wallis-et-futuna.pref.gouv.fr/77.159.252.140","443","INFO","9A476ED40CDBD951F4962E4AB480CCBF7952944B5A1B99237795F8EF621DD427","",""
