"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.yonne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.yonne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.yonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.yonne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.yonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.yonne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.yonne.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.yonne.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.yonne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.yonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.yonne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.yonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.yonne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.yonne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.yonne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.yonne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.yonne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.yonne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.yonne.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.yonne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.yonne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.yonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.yonne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.yonne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.yonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.yonne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.yonne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.yonne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.yonne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.yonne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.yonne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.yonne.gouv.fr/77.159.252.140","443","INFO","0FBD153DFCC15DC9C395E768BEC0F9CD","",""
"cert_serialNumberLen","www.yonne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.yonne.gouv.fr/77.159.252.140","443","INFO","A5DC892583D00DE5BC762BCE05D11AB22657C29A","",""
"cert_fingerprintSHA256","www.yonne.gouv.fr/77.159.252.140","443","INFO","D9F456D442EA21D8C8E470662C4C994E6ACCD2ACB2F2B88E5B76677F7712E119","",""
"cert","www.yonne.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHpDCCBYygAwIBAgIQD70VPfzBXcnDledovsD5zTANBgkqhkiG9w0BAQsFADB2MQswCQYDVQQGEwJGUjERMA8GA1UECgwIQ2VydGlnbmExHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MTUwMwYDVQQDDCxDZXJ0aWduYSBTZXJ2ZXIgQXV0aGVudGljYXRpb24gT1ZDUCBFVSBDQSBHMTAeFw0yNTExMDcwMDAwMDBaFw0yNjAyMDQyMzU5NTlaMHIxCzAJBgNVBAYTAkZSMQ4wDAYDVQQHDAVQQVJJUzEhMB8GA1UECgwYTUlOSVNURVJFIERFIEwnSU5URVJJRVVSMRowGAYDVQQDDBF3d3cueW9ubmUuZ291di5mcjEUMBIGA1UEBRMLUzM2MzUwMDE4NzUwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCc3/ei4RslU4ZonYWpGTq2S2CPQ52zaKiTT2tBbIl+xOhfWbzA+hhLFMAfvDq0tQUHjacOmQWpOBQSs+FU2Ke7ZKHgSFBhTcugu1zSVnbQBMUULtsSDMkxi/ObsXD9dWejK1SEtfSJJvPKzmg3I3G4E0AZFfMhOI5c8181t89qXuMZNcfDLIa1BNqHfYLL4B4gyhiUyK9vYtlWkqXDIUtmpvTbbzbhu93vKVdcEVfdG3+FOIXSY3HPqJTqz5g95LkhPB9Jp4Itu3JgWaluDB/0D6JOPHwCdVlBi+mHUKbtcdRgicIJJTII8UPTF8QH+r9G4QWYucY2xLLgYTpR6T0FAgMBAAGjggMwMIIDLDBfBggrBgEFBQcBAQRTMFEwTwYIKwYBBQUHMAKGQ2h0dHA6Ly9jZXJ0LmNlcnRpZ25hLmNvbS9DZXJ0aWduYVNlcnZlckF1dGhlbnRpY2F0aW9uT1ZDUEVVQ0FHMS5jZXIwHwYDVR0jBBgwFoAUoHLmRsQwXOStwhzC1WI4mIFaVKYwDAYDVR0TAQH/BAIwADBTBgNVHSAETDBKMAgGBgQAj3oBBzA0BgsqgXoBgTEBFwEBATAlMCMGCCsGAQUFBwIBFhdodHRwOi8vY3BzLmNlcnRpZ25hLmNvbTAIBgZngQwBAgIwUwYDVR0fBEwwSjBIoEagRIZCaHR0cDovL2NybC5jZXJ0aWduYS5jb20vQ2VydGlnbmFTZXJ2ZXJBdXRoZW50aWNhdGlvbk9WQ1BFVUNBRzEuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDArBgNVHREEJDAighF3d3cueW9ubmUuZ291di5mcoINeW9ubmUuZ291di5mcjAdBgNVHQ4EFgQUtw6ddOfA05fXE5nnKuZJ+qTyTsYwggF9BgorBgEEAdZ5AgQCBIIBbQSCAWkBZwB2AHTbnVj31H6d/Xh6FiqZHBjPaY2nxymRjJoYsEUNukS8AAABml4wz9AAAAQDAEcwRQIgS1bPr7+K1TmGkjY5Vipym/pKMQZwmMViS5FcGMgWHcQCIQDJ2SL9xPylLy4aqY+etGHAz5qNoRiSeXY1onE7n3MY5gB1AA5XlLzzrqk+MxssmQez95Dfm8I9cTIl3SGpJaxhxU4hAAABml4w0LMAAAQDAEYwRAIgcpylEMTrRyH0r/C9NxY2BWVCOxYKl6dM7vo+yeEHkH4CIFfyFnnVs4v9iUAsnax1p3UUdz3HN/zCCXjMObrhlThOAHYAGYbUxyiqb/66A294Kk0BkarOLXIxD67OXXBBLSVMx9QAAAGaXjDRiQAABAMARzBFAiEAo3S9ifur8Fi/4RVj4z2uvVSefFf0qN5jeuHQS6kZ/LICIBtzVUeaRKhjRcqNfNM4idFTQsevTJTvQMSI4e4RG+oJMA0GCSqGSIb3DQEBCwUAA4ICAQDT3KaFS3MvCcy6OU7t7ELl6O4SxUui3sCAi8V0C2R6kJQRHVbgS9zhlkOOtWLoMJ+Yk+uS3HenoLEUVb0khibnjrxfFWdb+CxnP6OS0x7N7ZOAsUoSnWblo/d3lcmh7Kai7a3yynZpUEyblpNOl1yuhRHa+Im4U+LNH09J8FeZp3RQ5s44xVTa6g/k/VtY6ikqJm8IgivVhJtvU3gk2Ii+D2/g2m+QpozpqFq6mDuwmo/HAGfRGAKQ5xmVO1zSZ7kAOsbO+u4cAP1RljaLXJ2rrUPkpE2stq4oEeNVqcv5chlc10Kua5MLcVMB6FFPozkQMj0st4nG1ryzJrw06hg44QKMRMrwn9nMkV/FcbEXbRM97dAuc3coV06mS0F17Z/I/ntso9YfH6Jh0z+xS5qz5c43aINQ7fA3Zoe10+ASM0YoXg7pglgkCAL5cz5/xciLKtMIRamDKpPiCm8M8B5zebRRd74lE2lHeSlVgvIPsyt22HsiWizM7iL4wkmItnanz5LjcSPrFVotoXTsAeh5PTc8e9j/tqO1YWE8ryb60o5hwjB6uz8c7iyW802Rrew4mb+JgAd0N+LsDJ0v/OrTazxgs9NJ6Uq5NGboWlesOfLT4ad9IE+xxJrK8xmsSxFYY1bM+suNvCZs30cqH4lYP2eG13ibf0qLx1Dt/EPiWQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.yonne.gouv.fr/77.159.252.140","443","OK","www.yonne.gouv.fr","",""
"cert_commonName_wo_SNI","www.yonne.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","www.yonne.gouv.fr/77.159.252.140","443","INFO","www.yonne.gouv.fr yonne.gouv.fr","",""
"cert_trust","www.yonne.gouv.fr/77.159.252.140","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.yonne.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.yonne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","www.yonne.gouv.fr/77.159.252.140","443","OK","73 >= 60 days","",""
"cert_notBefore","www.yonne.gouv.fr/77.159.252.140","443","INFO","2025-11-07 00:00","",""
"cert_notAfter","www.yonne.gouv.fr/77.159.252.140","443","OK","2026-02-04 23:59","",""
"cert_extlifeSpan","www.yonne.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.yonne.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","www.yonne.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.com/CertignaServerAuthenticationOVCPEUCAG1.crl","",""
"cert_ocspURL","www.yonne.gouv.fr/77.159.252.140","443","INFO","--","",""
"OCSP_stapling","www.yonne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cert_mustStapleExtension","www.yonne.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","www.yonne.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","www.yonne.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","www.yonne.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","www.yonne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","www.yonne.gouv.fr/77.159.252.140","443","INFO","Certigna Server Authentication OVCP EU CA G1 (Certigna from FR)","",""
