"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","HTTP","",""
"pre_128cipher","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","basegun.interieur.gouv.fr/77.158.220.109","443","OK","not offered","",""
"SSLv3","basegun.interieur.gouv.fr/77.158.220.109","443","OK","not offered","",""
"TLS1","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","not offered","",""
"TLS1_1","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","not offered","",""
"TLS1_2","basegun.interieur.gouv.fr/77.158.220.109","443","OK","offered","",""
"TLS1_3","basegun.interieur.gouv.fr/77.158.220.109","443","OK","offered with final","",""
"ALPN_HTTP2","basegun.interieur.gouv.fr/77.158.220.109","443","OK","h2","",""
"ALPN","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","http/1.1","",""
"cipherlist_NULL","basegun.interieur.gouv.fr/77.158.220.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","basegun.interieur.gouv.fr/77.158.220.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","basegun.interieur.gouv.fr/77.158.220.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","basegun.interieur.gouv.fr/77.158.220.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","not offered","",""
"cipherlist_STRONG_FS","basegun.interieur.gouv.fr/77.158.220.109","443","OK","offered","",""
"cipher_order-tls1_2","basegun.interieur.gouv.fr/77.158.220.109","443","OK","server","",""
"cipherorder_TLSv1_2","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","basegun.interieur.gouv.fr/77.158.220.109","443","OK","server","",""
"FS","basegun.interieur.gouv.fr/77.158.220.109","443","OK","offered","",""
"FS_ciphers","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","basegun.interieur.gouv.fr/77.158.220.109","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","yes","",""
"sessionresumption_ticket","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","not supported","",""
"sessionresumption_ID","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","not supported","",""
"TLS_timestamp","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","random","",""
"certificate_compression","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","none","",""
"clientAuth","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","none","",""
"cert_numbers","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","1","",""
"cert_signatureAlgorithm","basegun.interieur.gouv.fr/77.158.220.109","443","OK","SHA256 with RSA","",""
"cert_keySize","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","3F8C17198BBE6027C3B28F5C25CDAF0C","",""
"cert_serialNumberLen","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","16","",""
"cert_fingerprintSHA1","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","CB6B6EF7318BB986565401D2F2CBB636B0A7DB6D","",""
"cert_fingerprintSHA256","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","5BAA5F7AC39061BB09B84B3C05BB573F244C4271664610579BB5C196E898407A","",""
"cert","basegun.interieur.gouv.fr/77.158.220.109","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIUjCCBjqgAwIBAgIQP4wXGYu+YCfDso9cJc2vDDANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjQwMzIyMjMwMDAwWhcNMjQxMTA3MjI1OTU5WjB5MQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxITAfBgNVBAoMGE1JTklTVEVSRSBERSBMIElOVEVSSUVVUjEiMCAGA1UEAwwZYmFzZWd1bi5pbnRlcmlldXIuZ291di5mcjETMBEGA1UEBRMKUzMwNDE5MjgyMjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKR1NphNUlL6G+eGyTuoofhgkZwIaTq9PSW4TotEfdF5tGaMPEpgLDHq8Kmyf7VlvoHVIw2wYXwv7paWNuuKDqRNMW3o00lcae8CjHAZjY2/YQeYZbWSJ0TxAZudxEsADWAr6mNtpX9k6yVcoOk4J10k1XqkXuJpHkKWmXIVIz8gpriDNXF3ArEHkKyoZS5ocViO0/oL9CX4mGb58UE3qgLu7PoLwMNfC6e+NlLlKEZIgfR07N682NGihu4PfQ8m8EnbbJqXPfDxi9JalUbBw9teJruYr9EZdjZqan7jcmUAzxeFhmoaqMB5UYplwM3nOPwxcEr7xy6fmEmK7BkUfpECAwEAAaOCA9AwggPMMIHkBggrBgEFBQcBAQSB1zCB1DA4BggrBgEFBQcwAoYsaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5kZXIwNgYIKwYBBQUHMAKGKmh0dHA6Ly9hdXRvcml0ZS5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmRlcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAwGA1UdEwEB/wQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAroCmgJ4YlaHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDAkBgNVHREEHTAbghliYXNlZ3VuLmludGVyaWV1ci5nb3V2LmZyMB0GA1UdDgQWBBQLH+zMxcRdp+QPYMUSYY77C2gYcDCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHUAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGOas2j7wAABAMARjBEAiBvAazGNTGsXbXBR6CREICIHdPxLwXVdqK8ml4EM886OwIgdOXWS4K6VphWK2wg51kdElVp+mnoFK9btpQVBy0pxBcAdgDuzdBk1dsazsVct520zROiModGfLzs3sNRSFlGcR+1mwAAAY5qzaX8AAAEAwBHMEUCIQDWjgDLn8+5e5cw1X7bFqvlWUmkgcGNASPVSPy9TF+oUQIgcDkLGMUYBpJfrfqSRh9d9qkJ/yW4TaaEBVVWEMJooXAAdwBVgdTCFpA2AUrqC5tXPFPwwOQ4eHAlCBcvo6odBxPTDAAAAY5qzaepAAAEAwBIMEYCIQCmKJN2rhiCqs/9gr6ialOu1GWhOqJ4dHvNYNFwPOAO8QIhAL91scFPsRC5lVMVPordrq2xR5sLva+e+T/U7Vd09S+VMA0GCSqGSIb3DQEBCwUAA4ICAQAlT6RXN+0OaIgHtUEdMzOlcDEaD2oeKSmPRoI86KLf3djjvip7uEFgwnz73Xkz8/dK9kUetjQUUYy0FrMtcZYB6KS0rTdnK8LQNJCBgtIR784iGk2R4l1ZLCBAndaIKoSj6zudMec1xNozfnmUlXwc9sAjxGCOf6IUvLe8mdUDBz3PBNzInAvOhkJ4gYkjPrNIP93PTo1MwjuuBFOmhXmRxm1S+AvXsfK8prtmG1qV8D+o+32JHykxWnGseVM8ZjjZ+bthoffXxmkO1wPSw2IHlznu4O9uJZ6322p1ADXItTqbNwEkN9oz6zvCApGERZ5lEDvH2UlRXu9ofisO2Do9BXhKERMLn9CZ5lxGrbj0+SjhbldQCialOZjSxKSgHErGNfgsozGZcSNUktokQcxFqTg0qdUxXJB7gDwzVSRLGvTVipZbaUr5MiQwGJfgNo6Eqanl3bZOF7nb9BXtfdf1iYAIQVz+cvjcYzqsRT39LP+g9PMle2CzcppCyjMZOua+H8OZhO9nm2eln1KYfa+GwgrWiyckX8VxohKoi4vquTO88Ozq58K0qwt0AAy3G6eChiPjhMA+PLOe0t1lqcQWV+WiolFRLGXH6vPUUY0OiDL8WXF40KvUtiH0zmTlTX6udTXwxCM7v7FtemuEvUx+1SIPifelTKJeHBW2qQcE8A==\n-----END CERTIFICATE-----","",""
"cert_commonName","basegun.interieur.gouv.fr/77.158.220.109","443","OK","basegun.interieur.gouv.fr","",""
