"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","beta.interieur.gouv.fr/","443","WARN","No engine or GOST support via engine with your /home/testssl/bin/openssl.Linux.x86_64","",""
"service","beta.interieur.gouv.fr/143.196.253.97","443","INFO","HTTP","",""
"pre_128cipher","beta.interieur.gouv.fr/143.196.253.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","beta.interieur.gouv.fr/143.196.253.97","443","OK","not offered","",""
"SSLv3","beta.interieur.gouv.fr/143.196.253.97","443","OK","not offered","",""
"TLS1","beta.interieur.gouv.fr/143.196.253.97","443","INFO","not offered","",""
"TLS1_1","beta.interieur.gouv.fr/143.196.253.97","443","INFO","not offered","",""
"TLS1_2","beta.interieur.gouv.fr/143.196.253.97","443","OK","offered","",""
"TLS1_3","beta.interieur.gouv.fr/143.196.253.97","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","beta.interieur.gouv.fr/143.196.253.97","443","INFO","http/1.1","",""
"cipherlist_NULL","beta.interieur.gouv.fr/143.196.253.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","beta.interieur.gouv.fr/143.196.253.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","beta.interieur.gouv.fr/143.196.253.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","beta.interieur.gouv.fr/143.196.253.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","beta.interieur.gouv.fr/143.196.253.97","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","beta.interieur.gouv.fr/143.196.253.97","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","beta.interieur.gouv.fr/143.196.253.97","443","INFO","not offered","",""
"cipherlist_STRONG_FS","beta.interieur.gouv.fr/143.196.253.97","443","OK","offered","",""
"cipher_order-tls1_2","beta.interieur.gouv.fr/143.196.253.97","443","OK","server","",""
"cipherorder_TLSv1_2","beta.interieur.gouv.fr/143.196.253.97","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","beta.interieur.gouv.fr/143.196.253.97","443","OK","server","",""
"FS","beta.interieur.gouv.fr/143.196.253.97","443","OK","offered","",""
"FS_ciphers","beta.interieur.gouv.fr/143.196.253.97","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","beta.interieur.gouv.fr/143.196.253.97","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","beta.interieur.gouv.fr/143.196.253.97","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","beta.interieur.gouv.fr/143.196.253.97","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","beta.interieur.gouv.fr/143.196.253.97","443","INFO","yes","",""
"sessionresumption_ticket","beta.interieur.gouv.fr/143.196.253.97","443","INFO","supported","",""
"sessionresumption_ID","beta.interieur.gouv.fr/143.196.253.97","443","INFO","supported","",""
"TLS_timestamp","beta.interieur.gouv.fr/143.196.253.97","443","INFO","random","",""
"cert_compression","beta.interieur.gouv.fr/143.196.253.97","443","INFO","N/A","",""
"clientAuth","beta.interieur.gouv.fr/143.196.253.97","443","INFO","none","",""
"cert_numbers","beta.interieur.gouv.fr/143.196.253.97","443","INFO","1","",""
"cert_signatureAlgorithm","beta.interieur.gouv.fr/143.196.253.97","443","OK","SHA256 with RSA","",""
"cert_keySize","beta.interieur.gouv.fr/143.196.253.97","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","beta.interieur.gouv.fr/143.196.253.97","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","beta.interieur.gouv.fr/143.196.253.97","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","beta.interieur.gouv.fr/143.196.253.97","443","INFO","032CDF13C7C2A432E37878E925C7A532","",""
"cert_serialNumberLen","beta.interieur.gouv.fr/143.196.253.97","443","INFO","16","",""
"cert_fingerprintSHA1","beta.interieur.gouv.fr/143.196.253.97","443","INFO","CD7CFB6DCF8E8E309A387C91367E94F734BDAD37","",""
"cert_fingerprintSHA256","beta.interieur.gouv.fr/143.196.253.97","443","INFO","88CC89FAF6438F5C49FB498C0279164001BAA1F7D26E59F2925B2A310F252D2F","",""
