"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","deces.matchid.io/104.21.64.91","443","INFO","HTTP","",""
"pre_128cipher","deces.matchid.io/104.21.64.91","443","INFO","No 128 cipher limit bug","",""
"SSLv2","deces.matchid.io/104.21.64.91","443","OK","not offered","",""
"SSLv3","deces.matchid.io/104.21.64.91","443","OK","not offered","",""
"TLS1","deces.matchid.io/104.21.64.91","443","INFO","not offered","",""
"TLS1_1","deces.matchid.io/104.21.64.91","443","INFO","not offered","",""
"TLS1_2","deces.matchid.io/104.21.64.91","443","OK","offered","",""
"TLS1_3","deces.matchid.io/104.21.64.91","443","OK","offered with final","",""
"ALPN_HTTP2","deces.matchid.io/104.21.64.91","443","OK","h2","",""
"ALPN","deces.matchid.io/104.21.64.91","443","INFO","http/1.1","",""
"cipherlist_NULL","deces.matchid.io/104.21.64.91","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","deces.matchid.io/104.21.64.91","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","deces.matchid.io/104.21.64.91","443","OK","not offered","","CWE-327"
"cipherlist_LOW","deces.matchid.io/104.21.64.91","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","deces.matchid.io/104.21.64.91","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","deces.matchid.io/104.21.64.91","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","deces.matchid.io/104.21.64.91","443","INFO","not offered","",""
"cipherlist_STRONG_FS","deces.matchid.io/104.21.64.91","443","OK","offered","",""
"cipher_order-tls1_2","deces.matchid.io/104.21.64.91","443","OK","server","",""
"cipherorder_TLSv1_2","deces.matchid.io/104.21.64.91","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","deces.matchid.io/104.21.64.91","443","OK","server -- TLS 1.3 client determined","",""
"FS","deces.matchid.io/104.21.64.91","443","OK","offered","",""
"FS_ciphers","deces.matchid.io/104.21.64.91","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","deces.matchid.io/104.21.64.91","443","OK","prime256v1","",""
"TLS_extensions","deces.matchid.io/104.21.64.91","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","deces.matchid.io/104.21.64.91","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","deces.matchid.io/104.21.64.91","443","INFO","yes","",""
"sessionresumption_ticket","deces.matchid.io/104.21.64.91","443","INFO","not supported","",""
"sessionresumption_ID","deces.matchid.io/104.21.64.91","443","INFO","not supported","",""
"TLS_timestamp","deces.matchid.io/104.21.64.91","443","INFO","random","",""
"certificate_compression","deces.matchid.io/104.21.64.91","443","INFO","0002/Brotli","",""
"clientAuth","deces.matchid.io/104.21.64.91","443","INFO","none","",""
"cert_numbers","deces.matchid.io/104.21.64.91","443","INFO","1","",""
"cert_signatureAlgorithm","deces.matchid.io/104.21.64.91","443","OK","ECDSA with SHA256","",""
"cert_keySize","deces.matchid.io/104.21.64.91","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","deces.matchid.io/104.21.64.91","443","INFO","Digital Signature","",""
"cert_extKeyUsage","deces.matchid.io/104.21.64.91","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","deces.matchid.io/104.21.64.91","443","INFO","C53B09D3176F3CCB11D4929358B2242E","",""
"cert_serialNumberLen","deces.matchid.io/104.21.64.91","443","INFO","16","",""
"cert_fingerprintSHA1","deces.matchid.io/104.21.64.91","443","INFO","165E5952E2122C89B72E6A64BD8B0DCAD37A716A","",""
"cert_fingerprintSHA256","deces.matchid.io/104.21.64.91","443","INFO","579B776653B75C360987D6DA09C62764F204A902875D3102DC9E09AF95EA669C","",""
