"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","deces.matchid.io/172.67.179.218","443","INFO","HTTP","",""
"pre_128cipher","deces.matchid.io/172.67.179.218","443","INFO","No 128 cipher limit bug","",""
"SSLv2","deces.matchid.io/172.67.179.218","443","OK","not offered","",""
"SSLv3","deces.matchid.io/172.67.179.218","443","OK","not offered","",""
"TLS1","deces.matchid.io/172.67.179.218","443","INFO","not offered","",""
"TLS1_1","deces.matchid.io/172.67.179.218","443","INFO","not offered","",""
"TLS1_2","deces.matchid.io/172.67.179.218","443","OK","offered","",""
"TLS1_3","deces.matchid.io/172.67.179.218","443","OK","offered with final","",""
"ALPN_HTTP2","deces.matchid.io/172.67.179.218","443","OK","h2","",""
"ALPN","deces.matchid.io/172.67.179.218","443","INFO","http/1.1","",""
"cipherlist_NULL","deces.matchid.io/172.67.179.218","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","deces.matchid.io/172.67.179.218","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","deces.matchid.io/172.67.179.218","443","OK","not offered","","CWE-327"
"cipherlist_LOW","deces.matchid.io/172.67.179.218","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","deces.matchid.io/172.67.179.218","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","deces.matchid.io/172.67.179.218","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","deces.matchid.io/172.67.179.218","443","INFO","not offered","",""
"cipherlist_STRONG_FS","deces.matchid.io/172.67.179.218","443","OK","offered","",""
"cipher_order-tls1_2","deces.matchid.io/172.67.179.218","443","OK","server","",""
"cipherorder_TLSv1_2","deces.matchid.io/172.67.179.218","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","deces.matchid.io/172.67.179.218","443","OK","server -- TLS 1.3 client determined","",""
"FS","deces.matchid.io/172.67.179.218","443","OK","offered","",""
