"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","HTTP","",""
"pre_128cipher","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","No 128 cipher limit bug","",""
"SSLv2","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","not offered","",""
"SSLv3","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","not offered","",""
"TLS1","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","not offered","",""
"TLS1_1","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","not offered","",""
"TLS1_2","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","offered","",""
"TLS1_3","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","offered with final","",""
"ALPN_HTTP2","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","h2","",""
"ALPN","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","http/1.1","",""
"cipherlist_NULL","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","not offered","","CWE-327"
"cipherlist_LOW","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","immatriculation.ants.gouv.fr/66.22.33.162","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","not offered","",""
"cipherlist_STRONG_FS","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","offered","",""
"cipher_order-tls1_2","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","server","",""
"cipherorder_TLSv1_2","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","server","",""
"FS","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","offered","",""
"FS_ciphers","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA DHE-RSA-SEED-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","immatriculation.ants.gouv.fr/66.22.33.162","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","yes","",""
"sessionresumption_ticket","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","not supported","",""
"sessionresumption_ID","immatriculation.ants.gouv.fr/66.22.33.162","443","INFO","not supported","",""
