"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","HTTP","",""
"pre_128cipher","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","not offered","",""
"SSLv3","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","not offered","",""
"TLS1","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","LOW","offered (deprecated)","",""
"TLS1_1","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","LOW","offered (deprecated)","",""
"TLS1_2","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","offered","",""
"TLS1_3","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","h2","",""
"ALPN","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","http/1.1","",""
"cipherlist_NULL","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","offered","",""
"cipherlist_STRONG_FS","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","offered","",""
"cipher_order-tls1","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","server","",""
"cipherorder_TLSv1","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","server","",""
"cipherorder_TLSv1_1","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","server","",""
"cipherorder_TLSv1_2","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","server","",""
"FS","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","offered","",""
"FS_ciphers","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","prime256v1","",""
"TLS_extensions","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'signed certificate timestamps/#18' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","yes","",""
"sessionresumption_ticket","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","supported","",""
"sessionresumption_ID","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","supported","",""
"TLS_timestamp","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","off by -1 seconds from your localtime","",""
"cert_compression","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","N/A","",""
"clientAuth","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","none","",""
"cert_numbers","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","03A72B71BD4273CABF0FCF5E80C46DD091EE","",""
"cert_serialNumberLen <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","18","",""
"cert_fingerprintSHA1 <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","BCF8608B8F80405920980D6A17FB3E9096CF2824","",""
"cert_fingerprintSHA256 <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","5FAA56F96EFB8C327822BD07198FA154CC6374C2B5A27E8E98582E7C5EF9B6DF","",""
"cert <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFEjCCA/qgAwIBAgISA6crcb1Cc8q/D89egMRt0JHuMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzEyMDgxNjEzNDhaFw0yNDAzMDcxNjEzNDdaMC0xKzApBgNVBAMTIm1lc3BvaW50cy5wZXJtaXNkZWNvbmR1aXJlLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDlJQULHp/uNa/GIDVin99FelzfZ/EQQ+sOL4dSJO7Du5QvZJbl1B+l7WWBFMF39Ezo9aBA2E00TxSqkOgc+eH3+I9yiA783qIQA9JtdqgkP+HnYD2dQBK5nFhQ08Ne1yyi65SkkbQDnu18eAZL9N4ixO/ZRDYxYlwM4ouDP4Gny3D2k7g6ScCrCv82RV5vWgcxyLorolXF1gCR4bD0bN54nMCeCFcv3mG7ZqeXxUhcEhXAJtRKsa4jEtrqpAuZAZ8zEMJiRdejUjvXg/bNIozJPyJWM08LMCi+K1YK3E9dU0m8Y7wXjmOXJkDmmXLy5vQx61Nkq8LwkUB92AB3ko+bAgMBAAGjggIlMIICITAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFPfoSWMNZJ4JnagKJBDaJpeLJmkpMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMC0GA1UdEQQmMCSCIm1lc3BvaW50cy5wZXJtaXNkZWNvbmR1aXJlLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdgA7U3d1Pi25gE6LMFsG/kA7Z9hPw/THvQANLXJv4frUFwAAAYxKa9ABAAAEAwBHMEUCIACKL6CtALyIeWQbpL0Bn4HRCU/uZM3+trKERGYbFqmpAiEA3GwCtTJA44rm5eIAhOi5wU8L9dLQ5xvm6sayHQtALRMAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYxKa9BDAAAEAwBIMEYCIQCDUdRAFq9W2GJYoLRXsfDZX/uh6KNHVM6xeXUlXZanKgIhAKHSuRb0hyq479voLcDLBcMpyzIPeVf0nfNo3BQJU4leMA0GCSqGSIb3DQEBCwUAA4IBAQC0Iq4wF7eZZCT0JwvEsiTf8x9X7YB/Zxqayy/MdKup5fmpepcIN0Ayr5cdTnZWV/5kc1hJ/13ZOS8eSWZVr/vUxccSddJCqTkfTPTvJpd0jJnoRWJuUj1DSiWPCcWI4+WaNYHmja79vuxNX9RHyUvets/wNW88cIyGQbUZQZsOzQGqxa+ObA9S7Xu208OiqY2uZyzQ/FQwGTkHNKiywawO7PUE12TrrHIfGUskMe1dn6t+PluYYWE7R+MotMMEbe/hKOp8M/0aq6Xd65R4Eeoc1t0tpNYhOEent30hvpse0VNbjWs3Z05yV1ysX0btXF+nwrOTgf+Q4nbb9QQIiGc1\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","mespoints.permisdeconduire.gouv.fr","",""
"cert_commonName_wo_SNI <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","mespoints.permisdeconduire.gouv.fr","",""
"cert_trust <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","60 >= 30 days","",""
"cert_notBefore <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","2023-12-08 16:13","",""
"cert_notAfter <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","2024-03-07 16:13","",""
"cert_extlifeSpan <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","--","",""
"cert_ocspURL <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","offered","",""
"cert_ocspRevoked <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","not revoked","",""
"cert_mustStapleExtension <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","--","",""
"DNS_CAArecord <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","LOW","--","",""
"certificate_transparency <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","3","",""
"certs_list_ordering_problem <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","no","",""
"cert_caIssuers <hostCert#1>","mespoints.permisdeconduire.gouv.fr/172.67.193.178","443","INFO","R3 (Let's Encrypt from US)","",""
