"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","passeport.ants.gouv.fr/31.193.53.46","443","INFO","HTTP","",""
"pre_128cipher","passeport.ants.gouv.fr/31.193.53.46","443","INFO","No 128 cipher limit bug","",""
"SSLv2","passeport.ants.gouv.fr/31.193.53.46","443","OK","not offered","",""
"SSLv3","passeport.ants.gouv.fr/31.193.53.46","443","OK","not offered","",""
"TLS1","passeport.ants.gouv.fr/31.193.53.46","443","INFO","not offered","",""
"TLS1_1","passeport.ants.gouv.fr/31.193.53.46","443","INFO","not offered","",""
"TLS1_2","passeport.ants.gouv.fr/31.193.53.46","443","OK","offered","",""
"TLS1_3","passeport.ants.gouv.fr/31.193.53.46","443","OK","offered with final","",""
"ALPN","passeport.ants.gouv.fr/31.193.53.46","443","INFO","http/1.1","",""
"cipherlist_NULL","passeport.ants.gouv.fr/31.193.53.46","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","passeport.ants.gouv.fr/31.193.53.46","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","passeport.ants.gouv.fr/31.193.53.46","443","OK","not offered","","CWE-327"
"cipherlist_LOW","passeport.ants.gouv.fr/31.193.53.46","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","passeport.ants.gouv.fr/31.193.53.46","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","passeport.ants.gouv.fr/31.193.53.46","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","passeport.ants.gouv.fr/31.193.53.46","443","INFO","not offered","",""
"cipherlist_STRONG_FS","passeport.ants.gouv.fr/31.193.53.46","443","OK","offered","",""
"cipher_order-tls1_2","passeport.ants.gouv.fr/31.193.53.46","443","OK","server","",""
"cipherorder_TLSv1_2","passeport.ants.gouv.fr/31.193.53.46","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","passeport.ants.gouv.fr/31.193.53.46","443","OK","server","",""
"FS","passeport.ants.gouv.fr/31.193.53.46","443","OK","offered","",""
"FS_ciphers","passeport.ants.gouv.fr/31.193.53.46","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","passeport.ants.gouv.fr/31.193.53.46","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","passeport.ants.gouv.fr/31.193.53.46","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","passeport.ants.gouv.fr/31.193.53.46","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","passeport.ants.gouv.fr/31.193.53.46","443","INFO","yes","",""
"sessionresumption_ticket","passeport.ants.gouv.fr/31.193.53.46","443","INFO","supported","",""
"sessionresumption_ID","passeport.ants.gouv.fr/31.193.53.46","443","INFO","not supported","",""
"TLS_timestamp","passeport.ants.gouv.fr/31.193.53.46","443","INFO","random","",""
"certificate_compression","passeport.ants.gouv.fr/31.193.53.46","443","INFO","none","",""
"clientAuth","passeport.ants.gouv.fr/31.193.53.46","443","INFO","none","",""
"cert_numbers","passeport.ants.gouv.fr/31.193.53.46","443","INFO","1","",""
"cert_signatureAlgorithm","passeport.ants.gouv.fr/31.193.53.46","443","OK","SHA256 with RSA","",""
"cert_keySize","passeport.ants.gouv.fr/31.193.53.46","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","passeport.ants.gouv.fr/31.193.53.46","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","passeport.ants.gouv.fr/31.193.53.46","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","passeport.ants.gouv.fr/31.193.53.46","443","INFO","4CF6D95EAF0D14D419964D598800A1EE","",""
"cert_serialNumberLen","passeport.ants.gouv.fr/31.193.53.46","443","INFO","16","",""
"cert_fingerprintSHA1","passeport.ants.gouv.fr/31.193.53.46","443","INFO","F8B45584E14043821DB425A3C0C638FE038F8BF4","",""
"cert_fingerprintSHA256","passeport.ants.gouv.fr/31.193.53.46","443","INFO","23A7BA3BA79EB5B8FDDF99549259B7A3BCDDFD08461912CBD3FA61563111C2E5","",""
