"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","passeport.ants.gouv.fr/66.22.33.164","443","INFO","HTTP","",""
"pre_128cipher","passeport.ants.gouv.fr/66.22.33.164","443","INFO","No 128 cipher limit bug","",""
"SSLv2","passeport.ants.gouv.fr/66.22.33.164","443","OK","not offered","",""
"SSLv3","passeport.ants.gouv.fr/66.22.33.164","443","OK","not offered","",""
"TLS1","passeport.ants.gouv.fr/66.22.33.164","443","INFO","not offered","",""
"TLS1_1","passeport.ants.gouv.fr/66.22.33.164","443","INFO","not offered","",""
"TLS1_2","passeport.ants.gouv.fr/66.22.33.164","443","OK","offered","",""
"TLS1_3","passeport.ants.gouv.fr/66.22.33.164","443","OK","offered with final","",""
"ALPN_HTTP2","passeport.ants.gouv.fr/66.22.33.164","443","OK","h2","",""
"ALPN","passeport.ants.gouv.fr/66.22.33.164","443","INFO","http/1.1","",""
"cipherlist_NULL","passeport.ants.gouv.fr/66.22.33.164","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","passeport.ants.gouv.fr/66.22.33.164","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","passeport.ants.gouv.fr/66.22.33.164","443","OK","not offered","","CWE-327"
"cipherlist_LOW","passeport.ants.gouv.fr/66.22.33.164","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","passeport.ants.gouv.fr/66.22.33.164","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","passeport.ants.gouv.fr/66.22.33.164","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","passeport.ants.gouv.fr/66.22.33.164","443","INFO","not offered","",""
"cipherlist_STRONG_FS","passeport.ants.gouv.fr/66.22.33.164","443","OK","offered","",""
"cipher_order-tls1_2","passeport.ants.gouv.fr/66.22.33.164","443","OK","server","",""
"cipherorder_TLSv1_2","passeport.ants.gouv.fr/66.22.33.164","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","passeport.ants.gouv.fr/66.22.33.164","443","OK","server","",""
"FS","passeport.ants.gouv.fr/66.22.33.164","443","OK","offered","",""
"FS_ciphers","passeport.ants.gouv.fr/66.22.33.164","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA DHE-RSA-SEED-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","passeport.ants.gouv.fr/66.22.33.164","443","OK","prime256v1 secp384r1 secp521r1","",""
