"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","HTTP","",""
"pre_128cipher","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","not offered","",""
"SSLv3","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","not offered","",""
"TLS1","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","not offered","",""
"TLS1_1","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","not offered","",""
"TLS1_2","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","offered","",""
"TLS1_3","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","http/1.1","",""
"cipherlist_NULL","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","not offered","",""
"cipherlist_STRONG","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","offered","",""
"cipher_order-tls1_2","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","server","",""
"cipherorder_TLSv1_2","pro.permisdeconduire.gouv.fr/143.196.253.165","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","server","",""
"FS","pro.permisdeconduire.gouv.fr/143.196.253.165","443","OK","offered","",""
