"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","HTTP","",""
"pre_128cipher","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","not offered","",""
"SSLv3","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","not offered","",""
"TLS1","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","not offered","",""
"TLS1_1","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","not offered","",""
"TLS1_2","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","offered","",""
"TLS1_3","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","http/1.1","",""
"cipherlist_NULL","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","offered","",""
"cipher_order-tls1_2","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","server","",""
"cipherorder_TLSv1_2","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","server","",""
"FS","sia.registres.interieur.gouv.fr/143.196.253.156","443","OK","offered","",""
"FS_ciphers","sia.registres.interieur.gouv.fr/143.196.253.156","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
