"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sie.numerique-interieur.com/195.154.75.245","443","INFO","HTTP","",""
"pre_128cipher","sie.numerique-interieur.com/195.154.75.245","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sie.numerique-interieur.com/195.154.75.245","443","OK","not offered","",""
"SSLv3","sie.numerique-interieur.com/195.154.75.245","443","OK","not offered","",""
"TLS1","sie.numerique-interieur.com/195.154.75.245","443","INFO","not offered","",""
"TLS1_1","sie.numerique-interieur.com/195.154.75.245","443","INFO","not offered","",""
"TLS1_2","sie.numerique-interieur.com/195.154.75.245","443","OK","offered","",""
"TLS1_3","sie.numerique-interieur.com/195.154.75.245","443","OK","offered with final","",""
"ALPN_HTTP2","sie.numerique-interieur.com/195.154.75.245","443","OK","h2","",""
"ALPN","sie.numerique-interieur.com/195.154.75.245","443","INFO","http/1.1","",""
"cipherlist_NULL","sie.numerique-interieur.com/195.154.75.245","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sie.numerique-interieur.com/195.154.75.245","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sie.numerique-interieur.com/195.154.75.245","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sie.numerique-interieur.com/195.154.75.245","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sie.numerique-interieur.com/195.154.75.245","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sie.numerique-interieur.com/195.154.75.245","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","sie.numerique-interieur.com/195.154.75.245","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sie.numerique-interieur.com/195.154.75.245","443","OK","offered","",""
"cipher_order-tls1_2","sie.numerique-interieur.com/195.154.75.245","443","OK","server","",""
"cipherorder_TLSv1_2","sie.numerique-interieur.com/195.154.75.245","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","sie.numerique-interieur.com/195.154.75.245","443","OK","server -- TLS 1.3 client determined","",""
"FS","sie.numerique-interieur.com/195.154.75.245","443","OK","offered","",""
"FS_ciphers","sie.numerique-interieur.com/195.154.75.245","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sie.numerique-interieur.com/195.154.75.245","443","OK","prime256v1","",""
